"Var1","Var2","value","year"
"R150_R751_L230","R316",0.613498483316481,"2018"
"R176_L222","R316",0.591082696778479,"2018"
"R247_R539_L433","R316",0.714772450717936,"2018"
"R291","R316",0.726603934987168,"2018"
"R296","R316",0.0735537190082645,"2018"
"R297","R316",0.582863408521303,"2018"
"R305","R316",0.72256763569148,"2018"
"R316","R316",1,"2018"
"R404","R316",0.874626865671642,"2018"
"R437","R316",0.482610966057441,"2018"
"R462_R577","R316",0.575094805538407,"2018"
"R476_R580","R316",0.390009606147935,"2018"
"R520_L575","R316",0.376688344172086,"2018"
"R523","R316",0.862448082091375,"2018"
"R561","R316",0.424896510940272,"2018"
"R584","R316",0.941872254139912,"2018"
"R587","R316",0.206908960057575,"2018"
"R591","R316",0.434672789896671,"2018"
"R605","R316",0.828943795818626,"2018"
"R607","R316",0.765018389865141,"2018"
"R611","R316",1,"2018"
"R623","R316",0.733927434754933,"2018"
"R627_R1334","R316",0.931431562418215,"2018"
"R646","R316",0.388665997993982,"2018"
"R685_R836","R316",0.485669754957139,"2018"
"R693","R316",0.590595340811044,"2018"
"R713","R316",1,"2018"
"R714","R316",1,"2018"
"R716","R316",0.0975609756097561,"2018"
"R717","R316",0.050561797752809,"2018"
"R724","R316",0.724159210120333,"2018"
"R726","R316",0.988787878787879,"2018"
"R727","R316",0.461224233283057,"2018"
"R728","R316",1,"2018"
"R729","R316",0.103658536585366,"2018"
"R730","R316",0.857288481141692,"2018"
"R732","R316",0.254597908402452,"2018"
"R734","R316",0.981684981684982,"2018"
"R737","R316",1,"2018"
"R738","R316",0,"2018"
"R739","R316",0.631782945736434,"2018"
"R741_R1232","R316",0.0988530857454943,"2018"
"R743","R316",0.263406940063092,"2018"
"R745","R316",0,"2018"
"R747","R316",0.218721872187219,"2018"
"R748","R316",0,"2018"
"R749","R316",0.797581158497772,"2018"
"R750","R316",0.661219195849546,"2018"
"R753","R316",0.97887323943662,"2018"
"R761","R316",1,"2018"
"R767","R316",0.936585365853659,"2018"
"R769","R316",1,"2018"
"R777_R889","R316",0.572566678212677,"2018"
"R800","R316",0.295275982098458,"2018"
"R811","R316",0.481433535463651,"2018"
"R813_R1020","R316",0.995468277945619,"2018"
"R814","R316",0.146937573616019,"2018"
"R150_R751_L230","R404",0.0564543309740479,"2018"
"R176_L222","R404",0.0556293590169379,"2018"
"R247_R539_L433","R404",0.163056704794354,"2018"
"R291","R404",0.114627887082977,"2018"
"R296","R404",0.0735537190082645,"2018"
"R297","R404",0.0524749373433584,"2018"
"R305","R404",0.112586119979835,"2018"
"R316","R404",0.0667349960141214,"2018"
"R404","R404",1,"2018"
"R437","R404",0.0699738903394256,"2018"
"R462_R577","R404",0.058206191022136,"2018"
"R476_R580","R404",0.0495086085864184,"2018"
"R520_L575","R404",0.00266800066700017,"2018"
"R523","R404",0.16100659662839,"2018"
"R561","R404",0.197220579538734,"2018"
"R584","R404",0.0263602568435282,"2018"
"R587","R404",0.100035984166967,"2018"
"R591","R404",0.0493685419058553,"2018"
"R605","R404",0.175943524300842,"2018"
"R607","R404",0.0912682195886119,"2018"
"R611","R404",0,"2018"
"R623","R404",0.142159983025674,"2018"
"R627_R1334","R404",0.175346767861816,"2018"
"R646","R404",0.24172517552658,"2018"
"R685_R836","R404",0.0139406009178284,"2018"
"R693","R404",0.0286166235260282,"2018"
"R713","R404",0,"2018"
"R714","R404",0,"2018"
"R716","R404",0.143089430894309,"2018"
"R717","R404",0.0706260032102729,"2018"
"R724","R404",0.0990435050910213,"2018"
"R726","R404",0.174848484848485,"2018"
"R727","R404",0.0421065862242333,"2018"
"R728","R404",0,"2018"
"R729","R404",0.14390243902439,"2018"
"R730","R404",0.0975680792194554,"2018"
"R732","R404",0.113234763793725,"2018"
"R734","R404",0,"2018"
"R737","R404",0,"2018"
"R738","R404",0,"2018"
"R739","R404",0.0961814527706001,"2018"
"R741_R1232","R404",0.132714363735664,"2018"
"R743","R404",0.108832807570978,"2018"
"R745","R404",0,"2018"
"R747","R404",0.232223222322232,"2018"
"R748","R404",0,"2018"
"R749","R404",0.0916613621896881,"2018"
"R750","R404",0.0964980544747082,"2018"
"R753","R404",0.16510172143975,"2018"
"R761","R404",0,"2018"
"R767","R404",0,"2018"
"R769","R404",0,"2018"
"R777_R889","R404",0.231035677173537,"2018"
"R800","R404",0.0100447538538041,"2018"
"R811","R404",0.0456496559242352,"2018"
"R813_R1020","R404",0,"2018"
"R814","R404",0.137809187279152,"2018"
"R150_R751_L230","R437",0.602797438490057,"2018"
"R176_L222","R437",0.64256061109266,"2018"
"R247_R539_L433","R437",0.949136042832806,"2018"
"R291","R437",0.629255774165954,"2018"
"R296","R437",0.573553719008264,"2018"
"R297","R437",0.614035087719298,"2018"
"R305","R437",0.71030078978323,"2018"
"R316","R437",0.526249857647193,"2018"
"R404","R437",1,"2018"
"R437","R437",1,"2018"
"R462_R577","R437",0.428080077608255,"2018"
"R476_R580","R437",0.689425847927289,"2018"
"R520_L575","R437",0.321160580290145,"2018"
"R523","R437",0.886880039091131,"2018"
"R561","R437",0.889118864577173,"2018"
"R584","R437",0.330855018587361,"2018"
"R587","R437",0.695933789132782,"2018"
"R591","R437",0.533869115958668,"2018"
"R605","R437",0.825957100190062,"2018"
"R607","R437",0.575670889524588,"2018"
"R611","R437",0,"2018"
"R623","R437",0.746021642266073,"2018"
"R627_R1334","R437",0.723632556922272,"2018"
"R646","R437",0.989969909729188,"2018"
"R685_R836","R437",0.50792276387566,"2018"
"R693","R437",0.615329306873742,"2018"
"R713","R437",0.0911793855302279,"2018"
"R714","R437",0.109263657957245,"2018"
"R716","R437",0.904065040650406,"2018"
"R717","R437",0.778491171749599,"2018"
"R724","R437",0.873187287874113,"2018"
