"year","sample.id","sample.date","sample.group","sample.mass","site","sex","age.class","min.age","uid","degree","betweenness","eigen","strength","stan.strength","range.area","range.area.sqrt","social.group"
NA,"DNA2W2C",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2D",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2E",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2F",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
2019,"S00K90076","19-Jun-19","sample","0.2553","primary","M","juvenile",0,"R865",6,81,0.036472769081028,0.906818181818182,0.0110587583148559,1004.5,31.693847983481,"19D"
2019,"S00K90077","19-Jun-19","sample","0.2489","primary","M","juvenile",0,"R897",8,20,0.0696180044524157,0.805357142857143,0.00982142857142857,496,22.2710574513201,"19D"
2019,"S00K90078","19-Jun-19","sample","0.2527","primary","F","juvenile",0,"R900",15,237,0.140034627649429,1.51794398412045,0.018511512001469,2030,45.0555213042752,"19D"
2019,"S00K90079","19-Jun-19","sample","0.242","primary","M","adult",1,"R799",7,0,0.0580553288203023,0.700862046450282,0.00854709812744246,413.5,20.3346994076628,"19D"
2019,"S00K90080","19-Jun-19","sample","0.2507","primary","F","juvenile",0,"R891",8,64,0.10396657725859,0.761637382225617,0.00928826075884899,147,12.1243556529821,"19F"
2020,"S00K90081","2-Jun-20","sample","0.2467","primary","F","adult",1,"R951",12,103,0.0149829129639601,1.35248959267502,0.0281768665140628,886,29.7657521322744,"20B"
2020,"S00K90082","2-Jun-20","sample","0.2472","primary","F","adult",1,"R952",1,0,0.00300724675131963,0.0666666666666667,0.00138888888888889,215,14.6628782986152,"20B"
2020,"S00K90083","2-Jun-20","sample","0.2499","primary","F","adult",1,"R986",NA,NA,NA,NA,NA,NA,NA,NA
2020,"S00K90084","4-Jun-20","sample","0.2502","primary","F","adult",1,"R888",NA,NA,NA,NA,NA,NA,NA,NA
2020,"S00K90085","10-Jun-20","sample","0.2428","primary","M","adult",2,"R729",12,260,0.0475939852671046,0.947005564767713,0.0197292825993274,807.5,28.4165444767656,"20B"
2020,"S00K90086","10-Jun-20","sample","0.2421","primary","F","juvenile",0,"R990",8,29,0.00232878414417867,0.923635945375076,0.0192424155286474,602.5,24.5458754172672,"20C"
2020,"S00K90087","10-Jun-20","sample","0.2463","primary","M","adult",3,"R605",9,25,0.00144310631594268,0.657680185311765,0.0137016705273284,422.5,20.5548047910945,"20C"
2020,"S00K90088","10-Jun-20","sample","0.2507","primary","F","adult",1,"R893",11,96,0.00911211565454634,1.12907136341919,0.0235223200712331,788,28.0713376952364,"20A"
2020,"S00K90089","10-Jun-20","sample","0.2466","primary","F","adult",1,"R867",8,12,0.00881388793378409,0.825117774382481,0.0171899536329683,732,27.0554985169374,"20B"
2020,"S00K90090","10-Jun-20","sample","0.2493","primary","F","adult",2,"R747",8,32,0.0055406988228873,0.718110338234178,0.0149606320465454,1157.5,34.022051672408,"20B"
2020,"S00K90091","10-Jun-20","sample","0.2568","primary","M","adult",1,"R901",7,6,0.0105302656053735,1.21349175121554,0.0252810781503237,666,25.8069758011279,"20B"
2020,"S00K90092","10-Jun-20","sample","0.2571","primary","F","adult",1,"R882",NA,NA,NA,NA,NA,NA,NA,NA
2020,"S00K90093","10-Jun-20","sample","0.2546","primary","M","juvenile",0,"R983",10,118,0.00577091024575369,1.17175642984467,0.0244115922884305,807.974609375,28.4248941840599,"20E"
2020,"S00K90094","10-Jun-20","sample","0.2464","primary","M","adult",2,"R813_R1020",4,0,0.0015666719869948,0.48452380952381,0.010094246031746,571.28125,23.9014905392948,"20E"
2020,"S00K90095","10-Jun-20","sample","0.2524","primary","F","adult",4,"R450",NA,NA,NA,NA,NA,NA,NA,NA
2020,"S00K90096","10-Jun-20","sample","0.243","primary","M","juvenile",0,"R984_R1111_L1314",14,138,0.00788718265748767,1.44097424314816,0.0300202967322533,2664.5,51.618795026618,"20B"
2020,"S00K90097","10-Jun-20","sample","0.2505","primary","F","adult",2,"R714",13,183,0.00727261286024681,0.919347826086957,0.0191530797101449,1340,36.6060104354463,"20A"
2020,"S00K90098","10-Jun-20","sample","0.2456","primary","M","adult",4,"R471",4,0,0.000790442514491415,0.380952380952381,0.00793650793650794,346.5,18.6145104689863,"20C"
2020,"S00K90099","10-Jun-20","sample","0.2538","primary","F","adult",3,"R623",7,53,0.00141087643943541,0.540476190476191,0.0112599206349206,746.5,27.3221521846285,"20C"
2020,"S00K90100","10-Jun-20","sample","0.2468","primary","M","adult",4,"R462_R577",NA,NA,NA,NA,NA,NA,NA,NA
2020,"S00K90101","11-Jun-20","sample","0.2549","primary","F","adult",4,"R523",4,12,0.00068219884572743,0.281798245614035,0.00587079678362573,1516,38.9358446678636,"20C"
2020,"S00K90102","11-Jun-20","sample","0.2488","primary","F","adult",2,"R713",10,182,0.00754297006526105,0.928661860641265,0.019347122096693,1550,39.3700393700591,"20A"
2020,"S00K90103","11-Jun-20","sample","0.2529","primary","F","juvenile",0,"R1005",NA,NA,NA,NA,NA,NA,NA,NA
2020,"S00K90104","16-Jun-20","sample","0.2484","primary","F","adult",3,"R591",11,80,0.00686102460568604,0.929844888513619,0.0193717685107004,3653,60.4400529450463,"20B"
2020,"S00K90105","16-Jun-20","sample","0.2518","primary","F","adult",3,"R587",4,0,0.00137776850983813,0.461005454813504,0.00960428030861467,815.5,28.5569606225873,"20D"
2020,"S00K90106","16-Jun-20","sample","0.2584","primary","F","adult",2,"R741_R1232",8,8,0.00298928669916353,0.720785164492259,0.0150163575935887,1021.5,31.9609136289938,"20D"
2020,"S00K90107","23-Jun-20","sample","0.2562","primary","F","adult",7,"R150_R751_L230",6,0,0.00105825934205407,0.533877641965877,0.0111224508742891,631,25.1197133741609,"20C"
2020,"S00K90108","23-Jun-20","sample","0.2466","primary","F","adult",1,"R831_R1034",17,294,0.00363564511593933,1.26852218824086,0.0264275455883512,1514,38.9101529166874,"20C"
2020,"S00K90109","23-Jun-20","sample","0.25","primary","F","adult",1,"R928",NA,NA,NA,NA,NA,NA,NA,NA
2020,"S00K90110","23-Jun-20","sample","0.2546","primary","M","adult",2,"R799",9,27,0.00278675803368207,0.644909459118976,0.0134356137316453,254.5,15.9530561335438,"20A"
2020,"S00K90111","23-Jun-20","sample","0.2539","primary","M","adult",1,"R912",2,0,0.000537055715139445,0.542857142857143,0.0113095238095238,517.5,22.7486263321547,"20G"
2020,"S00K90112","23-Jun-20","sample","0.2495","primary","F","adult",3,"R584",7,59,0.00157565167820384,0.859700387331967,0.0179104247360826,3399,58.3009433885936,"20C"
2020,"S00K90113","23-Jun-20","sample","0.255","primary","F","adult",1,"R910",9,91,0.00644535794545295,1.01458666132579,0.021137222110954,419,20.4694894904587,"20A"
2021,"S00K90114","25-May-21","sample","0.2422","primary","F","adult",2,"R867",5,137,0.0511220025637617,0.435786435786436,0.00518793375936233,436,20.8806130178211,"21F"
2021,"S00K90115","25-May-21","sample","0.2535","primary","F","adult",3,"R741_R1232",NA,NA,NA,NA,NA,NA,NA,NA
2021,"S00K90116","25-May-21","sample","0.251","primary","F","adult",1,"R1016_R1261",8,34,0.256333140499999,0.816062592378382,0.0097150308616474,2132.99047851562,46.1843098737615,"21A"
2021,"S00K90117","25-May-21","sample","0.247","primary","F","adult",1,"R1069_L1403",15,221,0.204175288726877,1.27797978165625,0.0152140450197173,1229.5,35.0642267845735,"21B"
2021,"S00K90118","25-May-21","sample","0.1084","primary","M","adult",1,"R1097",13,185,0.156067490338363,1.65589965589966,0.0197130911416626,1315.5,36.2698221666443,"21F"
2021,"S00K90119","25-May-21","sample","0.2478","primary","F","adult",1,"R1080",NA,NA,NA,NA,NA,NA,NA,NA
2021,"S00K90120","25-May-21","sample","0.2688","primary","F","adult",4,"R584",15,79,0.495048312004381,1.40813810372634,0.016763548853885,4049.7548828125,63.6376844551442,"21D"
2021,"S00K90121","25-May-21","sample","0.2509","primary","F","adult",1,"R1090",5,18,0.0680448749712549,0.645177045177045,0.00768067910925054,280,16.7332005306815,"21C"
2021,"S00K90122","25-May-21","sample","0.2575","primary","F","adult",1,"R990",3,0,0.0858538436585427,0.240665766981556,0.00286506865454234,230,15.1657508881031,"21D"
2021,"S00K90123","25-May-21","sample","0.2475","primary","M","adult",2,"R945",9,3,0.22369329342384,0.980072705072705,0.0116675322032465,2902.5,53.8748549882039,"21B"
2021,"S00K90124","3-Jun-21","sample","0.2536","primary","M","adult",1,"R1104_R1201",6,1.5,0.0868862966248831,1.14935064935065,0.013682745825603,493,22.2036033111745,"21F"
2021,"S00K90125","3-Jun-21","sample","0.2507","primary","F","adult",1,"R1001",NA,NA,NA,NA,NA,NA,NA,NA
2021,"S00K90126","3-Jun-21","sample","0.256","primary","F","adult",2,"R837_R1118_R1358_L1228_L1326",10,94,0.322034227546164,1.05825461088619,0.0125982691772166,2715,52.1056618804521,"21B"
2021,"S00K90127","3-Jun-21","sample","0.242","primary","M","adult",1,"R1140",NA,NA,NA,NA,NA,NA,NA,NA
2021,"S00K90128","15-Jun-21","sample","0.2461","primary","F","adult",4,"R584",15,79,0.495048312004381,1.40813810372634,0.016763548853885,4049.7548828125,63.6376844551442,"21D"
2021,"S00K90129","15-Jun-21","sample","0.2478","primary","M","adult",3,"R729",NA,NA,NA,NA,NA,NA,NA,NA
